Time, Steps, Distance(km), Calories (kcal)
2021-11-14 07:00:00,116,0.09,3
2021-11-14 06:00:00,121,0.09,3
2021-11-14 05:00:00,47,0.04,1
2021-11-14 04:00:00,112,0.08,3
2021-11-14 03:00:00,75,0.06,2
2021-11-13 22:00:00,139,0.10,4
2021-11-13 21:00:00,11,0.01,0
2021-11-13 20:00:00,12,0.01,0
2021-11-13 13:00:00,200,0.15,6
2021-11-13 12:00:00,1098,0.83,35
2021-11-13 11:00:00,190,0.14,6
2021-11-13 10:00:00,99,0.07,3
2021-11-13 09:00:00,85,0.06,2
2021-11-13 08:00:00,183,0.14,5
2021-11-13 06:00:00,51,0.04,1
2021-11-12 23:00:00,11,0.01,0
2021-11-12 22:00:00,370,0.28,12
2021-11-12 21:00:00,63,0.05,2
2021-11-12 20:00:00,374,0.28,12
2021-11-12 19:00:00,196,0.15,6
2021-11-12 18:00:00,169,0.13,5
2021-11-12 17:00:00,1513,1.14,49
2021-11-12 16:00:00,123,0.09,4
2021-11-12 15:00:00,207,0.16,6
2021-11-12 14:00:00,40,0.03,1
2021-11-12 13:00:00,178,0.13,5
2021-11-12 11:00:00,273,0.20,8
2021-11-12 09:00:00,127,0.09,4
2021-11-12 08:00:00,246,0.19,8
2021-11-11 23:00:00,83,0.06,2
2021-11-11 22:00:00,28,0.02,0
2021-11-11 20:00:00,54,0.04,1
2021-11-11 19:00:00,1054,0.79,34
2021-11-11 18:00:00,110,0.08,3
2021-11-11 17:00:00,23,0.02,0
2021-11-11 14:00:00,13,0.01,0
2021-11-11 13:00:00,104,0.08,3
2021-11-11 12:00:00,62,0.05,2
2021-11-11 09:00:00,683,0.51,22
2021-11-11 08:00:00,197,0.15,6
2021-11-11 06:00:00,237,0.18,7
2021-11-11 04:00:00,201,0.15,6
2021-11-11 00:00:00,83,0.06,2
2021-11-10 23:00:00,17,0.01,0
2021-11-10 21:00:00,153,0.12,5
2021-11-10 20:00:00,10,0.01,0
2021-11-10 17:00:00,12,0.01,0
2021-11-10 16:00:00,24,0.02,0
2021-11-10 15:00:00,11,0.01,0
2021-11-10 14:00:00,11,0.01,0
2021-11-10 11:00:00,233,0.17,7
2021-11-10 10:00:00,670,0.50,21
2021-11-10 09:00:00,64,0.05,2
2021-11-10 08:00:00,58,0.04,1
2021-11-10 05:00:00,77,0.06,2
2021-11-09 23:00:00,28,0.02,0
2021-11-09 22:00:00,74,0.05,2
2021-11-09 21:00:00,170,0.13,5
2021-11-09 20:00:00,94,0.07,3
2021-11-09 19:00:00,103,0.08,3
2021-11-09 18:00:00,25,0.02,0
2021-11-09 17:00:00,66,0.05,2
2021-11-09 16:00:00,84,0.06,2
2021-11-09 15:00:00,100,0.08,3
2021-11-09 12:00:00,141,0.11,4
