Date, Time start, Time end, Total time (seconds), Time, Duration (seconds), Sleep phase
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-13 23:27:00,1020,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-13 23:44:00,120,Acordado
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-13 23:46:00,1020,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 00:03:00,60,Acordado
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 00:04:00,60,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 00:05:00,1740,Sono Profundo
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 00:34:00,60,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 00:35:00,1680,Sono Profundo
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 01:03:00,3900,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 02:08:00,60,Acordado
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 02:09:00,2220,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 02:46:00,60,Acordado
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 02:47:00,960,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 03:03:00,660,Acordado
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 03:14:00,540,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 03:23:00,240,Acordado
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 03:27:00,180,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 03:30:00,180,Acordado
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 03:33:00,420,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 03:40:00,60,Acordado
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 03:41:00,240,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 03:45:00,120,Acordado
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 03:47:00,420,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 03:54:00,60,Acordado
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 03:55:00,300,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 04:00:00,1080,Acordado
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 04:18:00,360,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 04:24:00,840,Acordado
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 04:38:00,240,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 04:42:00,360,Acordado
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 04:48:00,420,Sono Leve
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 04:55:00,60,Acordado
2021-11-14,2021-11-13 23:27:00,2021-11-14 05:09:00,20520,2021-11-14 04:56:00,780,Sono Leve
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-12 23:07:00,1740,Sono Profundo
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-12 23:36:00,120,Acordado
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-12 23:38:00,1680,Sono Profundo
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-13 00:06:00,2400,Sono Leve
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-13 00:46:00,2580,Sono Profundo
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-13 01:29:00,1080,Sono Leve
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-13 01:47:00,1200,Sono Profundo
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-13 02:07:00,1860,Sono Leve
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-13 02:38:00,1620,Sono Profundo
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-13 03:05:00,2760,Sono Leve
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-13 03:51:00,1500,Sono Profundo
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-13 04:16:00,180,Sono Leve
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-13 04:19:00,2100,Sono Profundo
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-13 04:54:00,180,Sono Leve
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-13 04:57:00,60,Acordado
2021-11-13,2021-11-12 23:07:00,2021-11-13 05:55:00,24480,2021-11-13 04:58:00,3420,Sono Leve
2021-11-12,2021-11-12 00:01:00,2021-11-12 08:11:00,29400,2021-11-12 00:01:00,420,Sono Leve
2021-11-12,2021-11-12 00:01:00,2021-11-12 08:11:00,29400,2021-11-12 00:08:00,1320,Sono Profundo
